OrderID,CustomerID,OrderDate,ShippedDate,ShippingCost,ShipCountry,ShipCity,ShippingCompany
1000.0,C001,2025-05-17,2025-07-30,-57.25454602444980,Germany,Hamburg,Kiwilytics Goods Shipping LLC.
1001.0,C002,2025-01-26,2025-07-30,320.61,Canada,Montreal,UPS Worldwide
1002.0,C003,2025-03-08,2025-07-30,165.17,Canada,Vancouver,FedEx Logistics
1003.0,C004,2025-03-24,2025-07-30,12.55,Germany,Munich,Aramex International
1004.0,C005,2025-04-15,2025-07-30,186.36,Canada,Vancouver,FedEx Logistics
1005.0,C006,2024-12-24,2025-07-30,74.93,USA,New York,UPS Worldwide
1006.0,C007,,2025-07-30,229.93,USA,Los Angeles,Aramex International
1007.0,C008,2024-08-10,2025-07-30,209.94,Germany,Berlin,Aramex International
1008.0,C009,2025-02-06,2025-07-30,NaN,USA,Houston,DHL Express
1009.0,C010,not_a_date,2025-07-30,394.37,USA,Chicago,Kiwilytics Goods Shipping LLC.
1010.0,C011,2024-12-03,2025-07-30,16.05,Germany,,Aramex International
1011.0,C012,2024-10-08,2025-07-30,391.79,Canada,Vancouver,DHL Express
1012.0,C013,,2025-07-30,284.17,Canada,Vancouver,Kiwilytics Goods Shipping LLC.
1013.0,C014,2025-02-04,2025-07-30,128.94,USA,New York,DHL Express
1014.0,C015,2024-10-20,,345.8,Canada,Montreal,FedEx Logistics
1015.0,,2024-12-14,2025-07-30,141.77,Canada,Toronto,FedEx Logistics
1016.0,C017,2025-06-04,2025-07-30,81.51,Germany,Munich,Kiwilytics Goods Shipping LLC.
1017.0,C018,2024-11-07,2025-07-30,145.22,USA,Chicago,DHL Express
1018.0,C019,2024-12-09,2025-07-30,393.51,Egypt,Giza,UPS Worldwide
1019.0,C020,2024-11-15,2025-07-30,NaN,USA,Chicago,DHL Express
1020.0,C021,2025-07-06,2025-08-29 00:00:00,252.94,UK,Manchester,UPS Worldwide
1021.0,C022,2025-03-18,2025-07-30,234.35,Canada,Toronto,Aramex International
1022.0,C023,2025-04-28,,13.32,Egypt,Giza,Aramex International
1023.0,C024,2025-07-06,2025-07-30,422.39,Egypt,Giza,Aramex International
1024.0,C025,not_a_date,2025-07-30,432.48,UK,London,DHL Express
1025.0,C026,2025-03-02,2025-07-30,221.0,Germany,Hamburg,Kiwilytics Goods Shipping LLC.
1026.0,C027,2024-08-02,2025-07-30,329.01,Germany,Munich,UPS Worldwide
1027.0,C028,2025-02-15,2025-07-30,157.21,Canada,Montreal,DHL Express
1028.0,C029,2024-10-12,2025-07-30,350.69,Germany,Berlin,Aramex International
1029.0,C030,2024-09-01,2025-07-30,97.04,Egypt,Alexandria,FedEx Logistics
1030.0,C001,not_a_date,2025-07-30,bad_value,UK,London,Aramex International
1031.0,C002,2024-10-31,2025-07-30,320.12,Canada,Montreal,Kiwilytics Goods Shipping LLC.
1032.0,C003,2025-05-05,2025-07-30,393.17,USA,Houston,Aramex International
1033.0,C004,2025-01-03,2025-07-30,,Germany,Berlin,Kiwilytics Goods Shipping LLC.
1034.0,C005,2025-02-04,,188.86,Canada,Montreal,FedEx Logistics
1035.0,C006,2025-03-02,2025-07-30,107.9,UK,Liverpool,UPS Worldwide
1036.0,C007,2025-05-20,2025-07-30,98.16,Canada,Montreal,Aramex International
1037.0,C008,not_a_date,2025-07-30,23.19,Germany,Berlin,Kiwilytics Goods Shipping LLC.
1038.0,C009,2024-10-31,2025-07-30,472.06,Egypt,Cairo,UPS Worldwide
1039.0,C010,2025-04-24,,400.87,UK,Liverpool,FedEx Logistics
1040.0,C011,2025-01-30,2025-07-30,43.89,USA,Los Angeles,Kiwilytics Goods Shipping LLC.
1041.0,C012,2025-04-06,2025-07-30,399.57,UK,Manchester,FedEx Logistics
1042.0,C013,2025-05-02,2025-07-30,78.2,Canada,Montreal,FedEx Logistics
1043.0,C014,2025-02-05,2025-07-30,133.81,USA,Chicago,DHL Express
1044.0,C015,2025-01-20,,217.33,Palestine,Gaza,UPS Worldwide
,C016,2025-06-02,2025-08-05 00:00:00,230.04,UK,London,DHL Express
1046.0,C017,2024-08-05,2024-09-14 00:00:00,295.3,Canada,Montreal,FedEx Logistics
1047.0,C018,2024-09-04,2025-07-30,462.51,USA,Chicago,Kiwilytics Goods Shipping LLC.
1048.0,C019,2024-11-21,,214.97,UK,London,Aramex International
1049.0,C020,2024-10-24,2025-07-30,,USA,New York,DHL Express
1050.0,C021,2025-01-03,2025-07-30,273.08,Palestine,Gaza,Aramex International
1051.0,C022,2025-04-24,2025-07-30,51.64,Egypt,Cairo,DHL Express
1052.0,C023,2024-11-01,2025-07-30,332.22,Egypt,Alexandria,UPS Worldwide
1053.0,C024,2024-11-25,2025-07-30,327.03,Palestine,Al Quds,Aramex International
1054.0,C025,2025-04-13,2025-07-30,,Germany,Munich,DHL Express
1055.0,C026,2025-03-12,2025-07-30,483.74,USA,Houston,FedEx Logistics
1056.0,C027,2024-12-20,2025-07-30,400.15,Germany,Hamburg,Kiwilytics Goods Shipping LLC.
1057.0,C028,2025-01-29,2025-07-30,58.32,Canada,Toronto,FedEx Logistics
1058.0,C029,2025-03-01,2025-07-30,375.96,Egypt,Cairo,UPS Worldwide
1059.0,C030,2025-02-21,2025-07-30,346.96,USA,Chicago,UPS Worldwide
1060.0,C001,2024-12-10,2025-07-30,193.32,Palestine,Al Quds,DHL Express
1061.0,C002,2025-01-11,2025-07-30,342.98,UK,London,FedEx Logistics
1062.0,C003,2025-05-15,2025-07-30,83.87,USA,Chicago,Aramex International
1063.0,C004,2025-02-28,2025-07-30,246.56,Canada,Vancouver,DHL Express
1064.0,C005,2024-12-05,2025-07-30,461.07,Palestine,Al Quds,DHL Express
1065.0,C006,2024-12-13,2025-07-30,417.35,USA,New York,FedEx Logistics
1066.0,,2025-04-28,2025-07-30,180.68,UK,Liverpool,Kiwilytics Goods Shipping LLC.
1067.0,C008,2025-01-22,,394.29,Germany,Munich,UPS Worldwide
1068.0,C009,2024-11-12,2025-07-30,180.67,USA,Houston,Aramex International
1069.0,C010,2024-11-26,2025-07-30,363.78,Canada,Montreal,UPS Worldwide
1070.0,C011,2024-11-04,2025-07-30,42.92,Palestine,Al Quds,DHL Express
1071.0,C012,2024-10-27,2025-07-30,NaN,USA,New York,Kiwilytics Goods Shipping LLC.
1072.0,C013,2024-09-14,2025-07-30,327.51,UK,London,DHL Express
1073.0,C014,2025-05-06,2025-07-30,90.53,Canada,,Kiwilytics Goods Shipping LLC.
